전공/계열	학년	이수구분	인재상	학수번호	교과목명	학점	교수	교시	강의실(건물명)	인원	강의계획서	강의평가	비고  1  1  1  1  1  1  1  1  1  1  1  1
컴퓨터공학부 [405940]	1	교필	소통	KYC55-A2	글쓰기의기초	3	김민환	화(13:00~14:15)화(14:30~15:45)	3408()	31/31	조회	조회	경영/미디어, 휴먼서비스, 이공계, AISW 계열, AI시스템반도체 수강 / 2024학번 교양필수 / ~2022학번 수강X 기존 글쓰기의기초와 다른 교과목
컴퓨터공학부 [405940]	1	교필	소통	KYC55-A3	글쓰기의기초	3	유예원	화(13:00~14:15)화(14:30~15:45)	3412()	31/31	조회	조회	경영/미디어, 휴먼서비스, 이공계, AISW 계열, AI시스템반도체 수강 / 2024학번 교양필수 / ~2022학번 수강X 기존 글쓰기의기초와 다른 교과목
컴퓨터공학부 [405940]	1	교필	소통	KYC55-A4	글쓰기의기초	3	한정미	화(13:00~14:15)화(14:30~15:45)	3410()	31/31	조회	조회	경영/미디어, 휴먼서비스, 이공계, AISW 계열, AI시스템반도체 수강 / 2024학번 교양필수 / ~2022학번 수강X 기존 글쓰기의기초와 다른 교과목
컴퓨터공학부 [405940]	1	교필	소통	KYC55-B1	글쓰기의기초	3	이은정	화(16:00~17:15)화(17:30~18:45)	20502()	31/31	조회	조회	경영/미디어, 휴먼서비스, 이공계, AISW 계열, AI시스템반도체 수강 / 2024학번 교양필수 / ~2022학번 수강X 기존 글쓰기의기초와 다른 교과목
컴퓨터공학부 [405940]	1	교필	소통	KYC55-B2	글쓰기의기초	3	송주현	금(13:00~14:15)금(14:30~15:45)	20505()	30/31	조회	조회	경영/미디어, 휴먼서비스, 이공계, AISW 계열, AI시스템반도체 수강 / 2024학번 교양필수 / ~2022학번 수강X 기존 글쓰기의기초와 다른 교과목
컴퓨터공학부 [405940]	1	교필	소통	KYC55-B3	글쓰기의기초	3	김민환	화(16:00~17:15)화(17:30~18:45)	3408()	31/31	조회	조회	경영/미디어, 휴먼서비스, 이공계, AISW 계열, AI시스템반도체 수강 / 2024학번 교양필수 / ~2022학번 수강X 기존 글쓰기의기초와 다른 교과목
컴퓨터공학부 [405940]	1	교필	소통	KYC55-B4	글쓰기의기초	3	유예원	화(16:00~17:15)화(17:30~18:45)	3412()	31/31	조회	조회	경영/미디어, 휴먼서비스, 이공계, AISW 계열, AI시스템반도체 수강 / 2024학번 교양필수 / ~2022학번 수강X 기존 글쓰기의기초와 다른 교과목
컴퓨터공학부 [405940]	1	교필	소통	KYC55-B5	글쓰기의기초	3	한정미	화(16:00~17:15)화(17:30~18:45)	3410()	31/31	조회	조회	경영/미디어, 휴먼서비스, 이공계, AISW 계열, AI시스템반도체 수강 / 2024학번 교양필수 / ~2022학번 수강X 기존 글쓰기의기초와 다른 교과목
컴퓨터공학부 [405940]	1	교필	소통	KYC55-C1	글쓰기의기초	3	서경희	목(13:00~14:15)목(14:30~15:45)	3409()	31/31	조회	조회	경영/미디어, 휴먼서비스, 이공계, AISW 계열, AI시스템반도체 수강 / 2024학번 교양필수 / ~2022학번 수강X 기존 글쓰기의기초와 다른 교과목
컴퓨터공학부 [405940]	1	교필	소통	KYC55-C2	글쓰기의기초	3	송주현	목(13:00~14:15)목(14:30~15:45)	20505()	31/31	조회	조회	경영/미디어, 휴먼서비스, 이공계, AISW 계열, AI시스템반도체 수강 / 2024학번 교양필수 / ~2022학번 수강X 기존 글쓰기의기초와 다른 교과목
